 x^n + y^n = z^n ,x的n次方加y的n次方等於z的n次方
 p^n + y^n = z^n ,p的n次方加y的n次方等於z的n次方
 p^n + p^n = z^n ,p的n次方加p的n次方等於z的n次方
 a^n + y^n = z^n ,a的n次方加y的n次方等於z的n次方
 a^n + p^n = z^n ,a的n次方加p的n次方等於z的n次方
 a^n + b^n = z^n ,a的n次方加b的n次方等於z的n次方
 g^n + y^n = z^n ,g的n次方加y的n次方等於z的n次方
 g^n + p^n = z^n ,g的n次方加p的n次方等於z的n次方
 g^n + b^n = z^n ,g的n次方加b的n次方等於z的n次方
 g^n + u^n = z^n ,g的n次方加u的n次方等於z的n次方
 x^3 + y^3 = z^3 ,x的三次方加y的三次方等於z的三次方
 p^3 + y^3 = z^3 ,p的三次方加y的三次方等於z的三次方
 p^3 + p^3 = z^3 ,p的三次方加p的三次方等於z的三次方
 a^3 + y^3 = z^3 ,a的三次方加y的三次方等於z的三次方
 a^3 + p^3 = z^3 ,a的三次方加p的三次方等於z的三次方
 a^3 + b^3 = z^3 ,a的三次方加b的三次方等於z的三次方
 g^3 + y^3 = z^3 ,g的三次方加y的三次方等於z的三次方
 g^3 + p^3 = z^3 ,g的三次方加p的三次方等於z的三次方
 g^3 + b^3 = z^3 ,g的三次方加b的三次方等於z的三次方
 g^3 + u^3 = z^3 ,g的三次方加u的三次方等於z的三次方
 x^2 + y^5 = z^8 ,x平加y的5次方等於z的8次方
 p^2 + y^5 = z^8 ,p平加y的5次方等於z的8次方
 p^2 + p^5 = z^8 ,p平加p的5次方等於z的8次方
 a^2 + y^5 = z^8 ,a平加y的5次方等於z的8次方
 a^2 + p^5 = z^8 ,a平加p的5次方等於z的8次方
 a^2 + b^5 = z^8 ,a平加b的5次方等於z的8次方
 g^2 + y^5 = z^8 ,g平加y的5次方等於z的8次方
 g^2 + p^5 = z^8 ,g平加p的5次方等於z的8次方
 g^2 + b^5 = z^8 ,g平加b的5次方等於z的8次方
 g^2 + u^5 = z^8 ,g平加u的5次方等於z的8次方
E=mc^2,E等於mc平方
\sqrt{x^2+1},根號x平方加一
\sqrt{p^2+1},根號p平方加一
\sqrt{a^2+1},根號a平方加一
\sqrt{g^2+1},根號g平方加一
 F = G \left( \frac{m_1 m_2}{r^2} \right),F等於G乘以m1m2除以r平方
\frac{1}{2} ,二分之一
\frac{234}{51} ,51分之234
\frac{87}{6903} ,六千九百零三分之八十七
\frac{32832}{313} ,313分之32832
e^{\pi i} + 1 = 0 ,e的pi乘以i次方加1等於0
2x - 5y =  8 ,2x減5y等於8
2p - 5y =  8 ,2p減5y等於8
2p - 5p =  8 ,2p減5p等於8
2a - 5y =  8 ,2a減5y等於8
2a - 5p =  8 ,2a減5p等於8
2a - 5b =  8 ,2a減5b等於8
2g - 5y =  8 ,2g減5y等於8
2g - 5p =  8 ,2g減5p等於8
2g - 5b =  8 ,2g減5b等於8
2g - 5u =  8 ,2g減5u等於8
3x + 9y =  -12 ,3x加9y等於負12
3p + 9y =  -12 ,3p加9y等於負12
3p + 9p =  -12 ,3p加9p等於負12
3a + 9y =  -12 ,3a加9y等於負12
3a + 9p =  -12 ,3a加9p等於負12
3a + 9b =  -12 ,3a加9b等於負12
3g + 9y =  -12 ,3g加9y等於負12
3g + 9p =  -12 ,3g加9p等於負12
3g + 9b =  -12 ,3g加9b等於負12
3g + 9u =  -12 ,3g加9u等於負12
x=y ,x等於y
p=y ,p等於y
p=p ,p等於p
a=y ,a等於y
a=p ,a等於p
a=b ,a等於b
g=y ,g等於y
g=p ,g等於p
g=b ,g等於b
g=u ,g等於u
w =z ,w等於z
a=b+c ,a加b等於c
2x=-y ,2x等於y
2p=-y ,2p等於y
2p=-p ,2p等於p
2a=-y ,2a等於y
2a=-p ,2a等於p
2a=-b ,2a等於b
2g=-y ,2g等於y
2g=-p ,2g等於p
2g=-b ,2g等於b
2g=-u ,2g等於u
3w=\frac{1}{2}z    ,3w等於二分之一z
a=b ,a等於b
w+2=-1+w ,w加二等於負一加w
ab=cb ,ab等於cb
2x - 5y =  8 ,2x減5y等於負八
2p - 5y =  8 ,2p減5y等於負八
2p - 5p =  8 ,2p減5p等於負八
2a - 5y =  8 ,2a減5y等於負八
2a - 5p =  8 ,2a減5p等於負八
2a - 5b =  8 ,2a減5b等於負八
2g - 5y =  8 ,2g減5y等於負八
2g - 5p =  8 ,2g減5p等於負八
2g - 5b =  8 ,2g減5b等於負八
2g - 5u =  8 ,2g減5u等於負八
3x^2 + 9y =  3a + c ,3x平方加上9y等於3a加c
3p^2 + 9y =  3a + c ,3p平方加上9y等於3a加c
3p^2 + 9p =  3a + c ,3p平方加上9p等於3a加c
3a^2 + 9y =  3a + c ,3a平方加上9y等於3a加c
3a^2 + 9p =  3a + c ,3a平方加上9p等於3a加c
3a^2 + 9b =  3a + c ,3a平方加上9b等於3a加c
3g^2 + 9y =  3a + c ,3g平方加上9y等於3a加c
3g^2 + 9p =  3a + c ,3g平方加上9p等於3a加c
3g^2 + 9b =  3a + c ,3g平方加上9b等於3a加c
