7[var1][Pbeg]leq[Pspa]13346||,||7[var1]小於等於13346
[Pbeg]sin[Plbb]6[Prbb][Pbgr]18561||,||sin[Pspa]6大於18561
[Pbeg]sin[Plbb][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]1[Prbb][Plbb]3[Prbb][Prbb][Prbb][Peql][Plsb][Pbeg]log[Psub][Plbb][var1][Prbb][var3][Pmin][var4][Prsb][var2]||,||sin[Pspa]根號3分之1等於[var3]以[var1]為底的對數減[var4]整個乘[var2]
[Pbeg]sin[Plbb][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]1[Prbb][Plbb]3[Prbb][Prbb][Prbb][Pbeg]geq[Pspa][var1][Pplu][var2]||,||sin[Pspa]根號3分之1大於等於[var1]加[var2]
[Pbeg]sin[Plbb][Pbeg]sqrt[Plbb][Pbeg]frac[Plbb]1[Prbb][Plbb]3[Prbb][Prbb][Prbb][Pbeg]geq[Pspa]2913||,||sin[Pspa]根號3分之1大於等於2913
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb][var3][Pbgr][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb]||,||[var2]分之8的[var1]次方乘[var3]大於8的[var1]次方
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb][var3][Peql][Pbeg]frac[Plbb][var1][Prbb][Plbb][var2][Prbb]||,||[var2]分之8的[var1]次方乘[var3]等於[var2]分之[var1]
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var2][Prbb][var3][Ples]12355||,||[var2]分之8的[var1]次方乘[var3]小於12355
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var3][Prbb][var2][Pbeg]leq[Pspa][Pbeg]tan[Plbb]8[Plsb]1[Pplu][Pbeg]log[Psub][Plbb][var1][Prbb][var2][Prsb][Prbb]||,||[var3]分之8的[var1]次方乘[var2]小於等於tan[Pspa]8乘上括號1加log[Pspa][var1][Pspa][var2]
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var3][Prbb][var2][Pbgr]2279||,||[var3]分之8的[var1]次方乘[var2]大於2279
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var1][Prbb][Prbb][Plbb][var3][Prbb][var2][Peql][Pbeg]frac[Plbb]5[Prbb][Plbb][var1][Prbb]||,||[var3]分之8的[var1]次方乘[var2]等於[var1]分之5
[Pbeg]frac[Plbb][Plbb]8[Prbb][Pexp][Plbb][var2][Prbb][Prbb][Plbb][var1][Prbb][var3][Ples][Plbb][Pbeg]sin[Plbb]2[Prbb][Prbb][Pexp][Plbb][var1][Prbb]||,||[var1]分之8的[var2]次方乘[var3]小於sin[Pspa]2的[var1]次方
