[Plbb][var1][Prbb][Pexp][Plbb][var2][Prbb][Pplu][Plbb][var3][Prbb][Pexp][Plbb][var2][Prbb][Peql][Plbb][var4][Prbb][Pexp][Plbb]n[Prbb],[var1]的[var2]次方加[var3]的[var2]次方等於[var4]的[var2]次方
[Plbb][var1][Prbb][Pexp]3[Pplu][Plbb][var2][Prbb][Pexp]3[Peql][Plbb][var3][Prbb][Pexp]3,[var1]的三次方加[var2]的三次方等於[var3]的三次方
[Plbb][var1][Prbb][Pexp]2[Pplu][Plbb][var2][Prbb][Pexp]5[Peql][Plbb][var3][Prbb][Pexp]8,[var1]平加[var2]的5次方等於[var3]的8次方
E[Peql]mc[Pexp]2,E等於mc平方
[Pbeg]sqrt[Plbb][Plbb][var1][Prbb][Pexp]2[Pplu]1[Prbb],根號[var1]平方加一
F[Peql]G[Pbeg]left[Plsb][Pbeg]frac[Plbb][Plbb][var1][Prbb][Psub]1[Plbb][var1][Prbb][Psub]2[Prbb][Plbb][Plbb][var2][Prbb][Pexp]2[Prbb][Pbeg]right[Prsb],F等於G乘以[var1]1m2除以[var2]平方
[Pbeg]frac[Plbb]1[Prbb][Plbb]2[Prbb],二分之一
[Pbeg]frac[Plbb]234[Prbb][Plbb]51[Prbb],51分之234
[Pbeg]frac[Plbb]87[Prbb][Plbb]6903[Prbb],六千九百零三分之八十七
[Pbeg]frac[Plbb]32832[Prbb][Plbb]313[Prbb],313分之32832
e[Pexp][Plbb][Pbeg]pii[Prbb][Pplu]1[Peql]0,e的pi乘以i次方加1等於0
2[Plbb][var1][Prbb][Pmin]5[Plbb][var2][Prbb][Peql]8,2[var1]減5[var2]等於8
3[Plbb][var1][Prbb][Pplu]9[Plbb][var2][Prbb][Peql][Pmin]12,3[var1]加9[var2]等於負12
[Plbb][var1][Prbb][Peql][Plbb][var2][Prbb],[var1]等於[var2]
[Plbb][var2][Prbb][Peql][Plbb][var1][Prbb],[var2]等於[var1]
[Plbb][var1][Prbb][Peql][Plbb][var2][Prbb][Pplu][Plbb][var3][Prbb],[var1]加[var2]等於[var3]
2[Plbb][var1][Prbb][Peql][Pmin][Plbb][var2][Prbb],2[var1]等於[var2]
3[Plbb][var2][Prbb][Peql][Pbeg]frac[Plbb]1[Prbb][Plbb]2[Prbb][Plbb][var1][Prbb],3[var2]等於二分之一[var1]
[Plbb][var1][Prbb][Peql][Plbb][var2][Prbb],[var1]等於[var2]
[Plbb][var1][Prbb][Pplu]2[Peql][Pmin]1[Pplu][Plbb]w[Prbb],[var1]加二等於負一加[var1]
ab[Peql]cb,ab等於cb
2[Plbb][var1][Prbb][Pmin]5[Plbb][var2][Prbb][Peql]8,2[var1]減5[var2]等於負八
3[Plbb][var1][Prbb][Pexp]2[Pplu]9[Plbb][var2][Prbb][Peql]3[Plbb][var3][Prbb][Pplu][Plbb][var4][Prbb],3[var1]平方加上9[var2]等於3[var3]加[var4]
3[var1]x[Pplu]4[var2]y[Peql]5[var3]z,3ax加4by等於5cz
